title   | cambodia two-parti opposit ask asian develop bank monday stop provid loan incumb govern call illeg
sent_01 | negoti form next govern becom deadlock opposit parti leader princ norodom ranariddh sam rainsi countri follow threat arrest strongman hun sen
sent_02 | hun sen complain monday opposit tri make member return intern issu
sent_03 | hun sen rule parti narrowli major elect juli opposit   claim widespread intimid fraud   deni hun sen two-third vote parliament requir approv next govern
sent_04 | meanwhil say old govern hold power illeg
sent_05 | ranariddh sam rainsi renew intern lobbi campaign old govern monday letter adb presid mitsuo sato call bank stop lend money
sent_06 | respect advis asian develop bank provid new loan current regim cambodia two parti leader wrote
sent_07 | best current regim could consid caretak govern approv nation assembl
sent_08 | meet hun sen new french ambassador cambodia hun sen aid prak sokhonn said cambodian leader repeat call opposit return express concern intern commun may ask secur guarante
sent_09 | report attempt internation return member parliament excus secur problem prak sokhonn said
sent_010 | opposit politician want unit nation help guarante safe return
sent_11 | u n secretary-gener repres offic phnom penh provid monitor opposit politician return cambodia particip juli elect
sent_12 | monitor end sept 30
sent_13 | offic receiv offici request oper start u n diplomat jonathan prentic said monday reaction prak sokhonn statement
sent_14 | opposit insist talk next govern must take place outsid countri rule parti reject alleg intimid recent guarante opposit member safeti insid countri
sent_15 | diplomat effort reviv stall talk appear bear fruit monday japanes foreign affair secretari state nobutaka machimura said king norodom sihanouk call ranariddh sam rainsi return cambodia
sent_16 | less two week abandon hope could influenc parti reach compromis sihanouk strongli interest presid summit meet three parti leader cambodia machimura said
sent_17 | cambodia lead opposit parti rule share presid parliament arch foe saturday insist alon must occupi top posit legisl bodi
sent_18 | disput presid major stumbl block talk two-parti opposit bloc cambodian peopl parti form new govern
sent_19 | cambodian leader hun sen head cpp offer share legislatur top job royalist funcinpec parti princ norodom ranariddh order break impass
sent_20 | princ parti statement date friday seen saturday said scenario unconstitut
sent_21 | co-shar anyth cpp mean surrend full power
sent_22 | furthermor propos unconstitut fax statement said
sent_23 | royalist parti also reject hun sen call hold bilater talk insist ranariddh main alli sam rainsi also includ
sent_24 | parti seat nation assembl left transpar check balanc system use govern statement said ad sam rainsi parti also given chairmanship one nation assembl nine commiss
sent_25 | note funcinpec allow cpp hold presid despit win 1993 gener elect statement said turn take post
sent_26 | recent elect held juli hun sen parti collect 64 122 parliamentari seat short two-third major need set new govern
sent_27 | fear arrest mani opposit member parliament left cambodia ceremoni open nation assembl sep 24
sent_28 | seri negoti forg new govern fail
sent_29 | talk complic cpp-funcinpec quarrel parliament top job
sent_30 | hun sen parti recent call ranariddh return negoti tabl said will make appropri concess break deadlock form govern
sent_31 | funcinpec demand hun sen written guarante safeti member activ precondit re-ent negoti
sent_32 | cambodian leader hun sen guarante safeti polit freedom politician tri eas fear rival arrest kill return countri
sent_33 | assur aim especi sam rainsi leader vocal anti-hun sen opposit parti forc take refug u n offic septemb avoid arrest hun sen accus behind plot life
sent_34 | sam rainsi 14 member parliament parti hole oversea two month
sent_35 | deal reach hun sen chief rival princ norodom ranariddh form new govern last week open door return
sent_36 | letter king norodom sihanouk   princ father cambodia head state   broadcast televis tuesday hun sen said guarante safeti extend ranariddh appli politician
sent_37 | assur come week first session cambodia new parliament nation assembl
sent_38 | sam rainsi said wednesday unsatisfi guarante
sent_39 | said contain indirect languag loophol suggest sam rainsi parti member still threat arrest hun sen rule parti
sent_40 | easi say rainsi srp member assembl charg arrest opposit leader said statement
sent_41 | instead make roundabout statement full loophol easili exploit legal system complet control
sent_42 | ranariddh told report wednesday believ safe sam rainsi cambodia
sent_43 | speak upon return brief stay bangkok princ said would soon meet hun sen discuss apport ministri new coalit govern
sent_44 | last week hun sen cambodian peopl parti ranariddh funcinpec parti agre form coalit would leav hun sen sole prime minist make princ presid nation assembl
sent_45 | deal assur two-third vote parliament need approv new govern
sent_46 | men serv co-prim minist hun sen overthrew ranariddh coup last year
sent_47 | think hun sen got everyth
sent_48 | he got premiership legitimaci elect recognit majesti king
sent_49 | dont think benefit hun sen caus instabl countri ranariddh said
sent_50 | princ also said top gener nhek bunchhay would given back previou posit second-rank gener cambodian militari gener staff
sent_51 | nhek bunchhay outnumb forc capit put tough unsuccess resist last year coup
sent_52 | cambodia bicker polit parti broke three-month deadlock friday agre coalit govern leav strongman hun sen sole prime minist king norodom sihanouk announc
sent_53 | long-elus compromis opposit leader princ norodom ranariddh becom presid nation assembl result disput elect juli even though hun sen parti hold major 64 seat 122-member chamber
sent_54 | hun sen cambodian peopl parti drop insist joint assembl chairmanship share ranariddh parti boss chea sim current speaker
sent_55 | one main stumbl block month discord
sent_56 | instead sihanouk announc constitut modifi creat new senat chea sim head
sent_57 | chea sim still serv act head state king frequent absenc countri
sent_58 | major polit crisi countri resolv polit deadlock face nation also come end king said statement
sent_59 | senat initi appoint king
sent_60 | agreement say mani seat would would divid
sent_61 | parti hammer detail later
sent_62 | pok one ranariddh negoti said senat would serv mostli advisori role assembl
sent_63 | senior senat leader join assembl prime minist countri top two buddhist monk delic balanc power council choos cambodia next king sihanouk die
sent_64 | two parti said assembl would conven nov
sent_65 | 25
sent_66 | agreement came surprisingli quickli follow ranariddh return thursday thailand hole opposit figur week amid fear safeti stay cambodia
sent_67 | deal allow rapid format govern cpp ranariddh royalist funcinpec allow intern donor busi oper poverty-stricken countri desper need aid
sent_68 | could also hasten cambodia entri associ southeast asian nation put hold last year hun sen depos ranariddh co-prim minist bloodi coup
sent_69 | earlier side arriv royal palac second day meet sihanouk said agre principl form coalit made import concess
sent_70 | king sole forc cambodian polit abl broker deal pressur side reach agreement leav saturday medic treatment beij
sent_71 | sihanouk report hun sen respond posit request ranariddh five key support receiv polit pardon
sent_72 | five convict polit crime court wide seen loyal hun sen
sent_73 | king power grant pardon await agreement hun sen polit sensit case
sent_74 | former battlefield enemi cpp funcinpec loggerhead sinc cpp narrowli parliamentari elect juli
sent_75 | vote fail put end instabl follow last year coup
sent_76 | cpp fell short two-third major need form govern alon
sent_77 | ranariddh parti opposit alli sam rainsi held back support claim cpp due fraud intimid
sent_78 | opposit organ protest phnom penh seek hun sen ouster violent dispers
sent_79 | sam rainsi investig phnom penh court role demonstr remain abroad
sent_80 | 15 seat 122-seat assembl irrelev form work govern
sent_81 | king norodom sihanouk tuesday prais agreement cambodia top two polit parti   previous bitter rival   form coalit govern led strongman hun sen
sent_82 | short letter sent news agenc king said receiv copi cooper agreement sign monday place hun sen cambodian peopl parti firm control fiscal administr function govern
sent_83 | protocol cooper cpp funcinpec certainli bring peac progress nation peopl sihanouk wrote
sent_84 | uncompromis enemi month ago hun sen funcinpec presid princ norodom ranariddh agre nov
sent_85 | 13 form govern summit conven sihanouk
sent_86 | deal make hun sen prime minist ranariddh presid nation assembl end three month polit deadlock follow juli elect narrowli hun sen
sent_87 | key agreement format senat upper hous parliament led cpp presid chea sim outgo head nation assembl
sent_88 | sihanouk recal procedur use past govern suggest tuesday appoint first two member upper hous
sent_89 | remain senat said select method agre upon new govern nation assembl
sent_90 | hun sen said monday cpp funcinpec agre senat would half larg 122-seat nation assembl
sent_91 | detail senat includ much power given promulg legisl yet iron two parti
sent_92 | king norodom sihanouk declin request chair summit cambodia top polit leader say meet would bring progress deadlock negoti form govern
sent_93 | cambodian leader hun sen rule parti two-parti opposit call monarch lead top-level talk disagre locat
sent_94 | papa presid summit meet three parti whether held phnom penh beij meet certainli achiev result sihanouk wrote oct
sent_95 | 17 letter son princ norodom ranariddh leader senior opposit funcinpec parti
sent_96 | copi letter obtain thursday
sent_97 | king call three parti make compromis end stalem papa would like ask three parti take respons nation peopl
sent_98 | hun sen use thursday anniversari peac agreement end countri civil war pressur opposit form coalit govern parti
sent_99 | want prolong anarchi instabl prevent effort set new govern hun sen said televis speech mark anniversari 1991 pari peac accord
sent_100 | hun sen parti 64 122 seat parliament juli nation elect two-third major necessari form govern
sent_101 | opposit parti led ranariddh former financ minist sam ram rainsi refus enter coalit hun sen alleg elect fraud thoroughli investig
sent_102 | intern monitor said elect rel free fair
sent_103 | hun sen said current govern would remain power long opposit refus form new one
sent_104 | ranariddh sam rainsi remain outsid countri sinc sept
sent_105 | 24 ceremoni conven parliament
sent_106 | cite hun sen threat arrest opposit politician follow two alleg attempt life ranariddh sam rainsi said feel safe negoti insid countri ask king chair summit resid beij
